subj,csnmap1,csnmap2,csnmap3,csnmap4,csnmap5,csnmap6,csnmap7
101309,0.026300,-0.047000,0.009300,0.022000,0.024100,0.062900,0.020800
102715,0.015100,-0.032000,-0.018200,-0.010800,-0.022100,0.047800,-0.001100
103414,0.040000,0.014500,-0.026500,-0.004800,0.026100,0.048400,0.028200
104820,0.020500,-0.071600,0.033000,0.040800,0.046800,0.126200,0.012700
105115,0.041400,-0.020600,0.010300,0.027300,0.040700,0.061600,0.030300
107422,0.028900,-0.032700,-0.001900,-0.006900,-0.022600,0.029900,-0.009400
108121,0.041500,-0.038900,0.008100,0.035300,0.063900,0.122500,0.039700
108323,0.067600,-0.056200,0.018500,0.036400,0.064900,0.114400,0.043500
109325,0.040800,0.023300,-0.010700,0.007600,0.020500,0.048700,0.038700
113922,0.016800,-0.030700,0.013900,0.030800,0.065200,0.094200,0.016000
115724,0.052600,0.019500,-0.020300,-0.011600,0.005400,0.043100,0.015800
117122,0.037300,0.003500,-0.012300,0.012300,0.032200,0.059900,0.021400
118730,0.026700,-0.024400,-0.006600,0.010600,0.051600,0.089200,0.016500
119833,0.020000,-0.010100,0.003400,-0.001400,0.006400,0.047000,0.001400
120414,0.057400,-0.029400,0.004500,0.013200,0.014600,0.063500,0.024200
120717,0.015000,0.004900,-0.003300,0.010500,0.025600,0.055700,0.011900
122620,0.009700,-0.031200,-0.007600,0.012600,0.040800,0.087900,0.017500
123925,0.051800,-0.050700,0.032200,0.039200,0.032500,0.076300,0.039000
124624,0.052800,-0.007300,0.005200,0.029800,0.046300,0.100200,0.035600
128026,0.047100,-0.075300,0.045000,0.036000,0.030100,0.067400,0.033100
128632,0.050900,-0.033700,0.012700,0.021100,0.040500,0.090800,0.026600
129028,0.050700,-0.021000,0.007500,0.017100,0.044200,0.083500,0.030900
129129,0.054400,0.010000,0.011700,0.014800,0.032500,0.044400,0.031400
130518,0.049800,0.016300,-0.004000,0.024600,0.046600,0.079700,0.035500
133019,0.036700,-0.023300,-0.002700,0.016900,0.022900,0.069200,0.028600
133625,0.046200,0.044800,-0.028800,-0.009500,0.003600,0.045600,0.011900
133827,0.018400,-0.082100,0.011800,0.003400,0.000900,0.076300,-0.005700
135124,0.052600,-0.074500,0.042300,0.054100,0.070000,0.134000,0.035700
136833,0.056900,-0.076600,0.031300,0.045300,0.065400,0.100500,0.031300
137027,-0.007300,-0.009300,-0.017600,-0.016000,-0.014200,-0.003600,-0.006200
137229,0.039000,0.015600,0.003400,0.023400,0.024900,0.081600,0.025900
138534,0.025900,-0.017200,-0.014600,0.006500,0.018000,0.067800,0.007600
139637,0.036600,-0.036200,0.004900,0.026600,0.043500,0.100400,0.031400
139839,0.059800,-0.015100,0.005100,0.024200,0.046900,0.086600,0.035800
141422,0.046000,-0.019400,0.019600,0.033100,0.057300,0.093900,0.035600
143325,0.047700,-0.022100,0.008900,0.007000,0.031400,0.065000,0.030000
143426,0.044800,-0.011900,-0.006400,-0.001300,0.011600,0.045300,0.016100
144731,0.046000,-0.004200,0.003400,0.020500,0.055400,0.081300,0.037400
144832,0.051300,-0.041700,0.021300,0.037100,0.063300,0.098900,0.034500
144933,0.027100,0.020600,-0.008100,0.008600,0.027300,0.052100,0.022200
149236,0.057400,-0.062600,0.053700,0.043700,0.075300,0.080500,0.041400
149741,0.042300,-0.020500,0.006100,0.027900,0.048900,0.100500,0.035100
149842,0.061700,-0.029100,0.002000,0.004500,-0.017700,0.026300,0.019900
150524,0.049600,0.024800,-0.021900,0.002000,-0.005900,0.050800,0.023600
156031,0.058600,-0.022500,0.006500,0.006700,0.023400,0.042000,0.027400
156536,0.040800,-0.037400,0.008300,0.004600,0.037400,0.043000,0.004500
157942,0.062800,0.008400,-0.003200,0.025400,0.047200,0.084600,0.048200
158540,0.026300,-0.102600,0.046200,0.039200,0.036100,0.078800,0.013900
159946,0.022900,-0.026300,0.006100,0.025100,0.068000,0.093600,0.029700
160830,0.008500,-0.043200,0.015900,0.034400,0.034200,0.077000,0.030400
160931,0.044300,-0.027100,0.014800,0.025700,0.041300,0.096200,0.036300
162228,0.059800,-0.071500,0.025800,0.045700,0.060700,0.104200,0.039800
163331,0.052300,-0.023300,0.008700,0.014200,0.037300,0.070700,0.023600
164030,0.060100,-0.033800,0.033900,0.057300,0.097200,0.138500,0.049100
167440,0.077400,-0.039300,0.021300,0.019200,0.003800,0.052400,0.033200
170934,0.034100,-0.043000,0.007000,0.006000,0.002400,0.054500,0.010600
