subj,abs_mean,rel_mean,pct_removed
101309,0.688286,0.052077,0.638158
102715,0.162311,0.061742,0.575181
103414,0.382265,0.080325,0.680254
104820,0.167228,0.134642,0.552632
105115,0.194275,0.068627,0.469203
107422,0.095689,0.055103,0.444976
108121,0.262110,0.179534,0.576923
108323,0.538098,0.060257,0.724638
109325,0.367945,0.124171,0.652520
113922,0.173957,0.063604,0.520000
115724,0.118887,0.071155,0.409699
117122,0.202930,0.065160,0.613872
118730,0.421467,0.083376,0.643281
119833,0.367665,0.091303,0.517628
120414,1.014420,0.066759,0.707039
120717,0.467297,0.068798,0.604167
122620,0.214226,0.050773,0.622530
123925,1.189555,0.109284,0.666667
124624,0.119656,0.103211,0.534585
128026,0.420658,0.082300,0.534585
128632,0.354964,0.076287,0.578905
129028,0.112080,0.049813,0.482143
129129,0.299360,0.074753,0.500000
130518,0.380673,0.221900,0.558780
133019,0.697641,0.069711,0.567857
133625,0.126664,0.078630,0.655303
133827,0.243127,0.113047,0.560000
135124,0.130251,0.073369,0.597727
136833,0.348817,0.080657,0.606061
137027,0.128190,0.049721,0.690909
137229,0.146529,0.121780,0.556277
138534,0.109896,0.081653,0.600000
139637,0.201989,0.074714,0.583916
139839,0.377177,0.064519,0.659091
141422,0.170116,0.067663,0.619048
143325,0.597872,0.103894,0.583333
143426,0.389508,0.066707,0.717949
144731,0.529476,0.123426,0.593333
144832,1.028785,0.074130,0.604067
144933,0.238484,0.086925,0.541667
149236,0.348387,0.089138,0.571667
149741,0.291840,0.130238,0.631034
149842,0.121758,0.062656,0.525000
150524,0.205963,0.079218,0.669732
156031,0.252283,0.097758,0.417391
156536,0.218643,0.049740,0.360577
157942,0.116584,0.065082,0.616848
158540,0.239555,0.083371,0.486166
159946,0.377240,0.072659,0.684380
160830,0.467014,0.076562,0.735755
160931,0.404020,0.082151,0.732213
162228,0.247121,0.070035,0.517857
163331,0.186309,0.195876,0.633971
164030,0.152839,0.046593,0.552273
167440,0.323736,0.080073,0.510000
170934,0.169772,0.090610,0.460526
172433,0.102963,0.056573,0.498397
172534,0.137557,0.060699,0.512681
173334,0.226170,0.059082,0.521991
173839,0.835866,0.120194,0.607143
176037,0.152785,0.117353,0.659420
178849,0.534922,0.060164,0.527569
188751,0.425757,0.121818,0.528490
191336,0.128673,0.071320,0.699248
192035,0.272657,0.080649,0.725000
195041,0.130048,0.107152,0.451128
195849,0.249142,0.098009,0.599802
200311,0.266358,0.080194,0.645455
200513,0.300001,0.046308,0.570000
200614,0.274728,0.110279,0.500000
201111,0.106929,0.050168,0.675325
201818,0.091570,0.043729,0.645455
202820,0.671345,0.119295,0.403409
204016,0.506103,0.104082,0.516667
204218,0.333993,0.085103,0.413095
204622,0.524756,0.096860,0.555862
205220,0.154234,0.153338,0.554180
206323,0.356370,0.148479,0.649621
206929,0.321175,0.089285,0.439655
210617,0.297610,0.053874,0.519157
211316,0.281123,0.116558,0.786765
213421,0.216117,0.104850,0.560000
214726,0.245401,0.078454,0.666154
217126,0.522583,0.095162,0.596014
219231,0.106718,0.052212,0.472884
238033,0.408806,0.050394,0.679348
257542,0.209405,0.091384,0.590833
257946,0.265116,0.112555,0.523810
285446,0.330485,0.050923,0.511905
290136,0.246494,0.094184,0.606061
295146,0.569057,0.181817,0.645833
304020,0.249477,0.110396,0.710702
346945,0.298185,0.123301,0.395833
356948,0.778124,0.068773,0.651515
361941,0.188780,0.078067,0.491402
366446,0.330166,0.108838,0.524074
371843,0.141684,0.076125,0.448333
377451,0.695040,0.069711,0.626894
380036,0.118791,0.084354,0.532727
386250,0.391209,0.064311,0.551724
394956,0.152907,0.059347,0.467391
397154,0.158913,0.077850,0.550833
429040,0.131045,0.092824,0.621345
441939,1.159490,0.098887,0.635279
449753,0.336184,0.068631,0.579130
475855,0.128412,0.080977,0.479167
481951,0.541133,0.051409,0.554348
510225,0.094972,0.064815,0.439091
516742,0.241763,0.092218,0.626087
520228,0.203634,0.064956,0.568966
523032,0.169255,0.078947,0.735755
524135,0.280658,0.052987,0.581169
525541,0.509212,0.097653,0.660326
541640,0.135432,0.043434,0.520833
552241,0.595785,0.109709,0.705376
597869,0.121052,0.091209,0.347826
598568,0.128298,0.047858,0.584758
617748,0.420532,0.123072,0.496894
627852,0.567906,0.066328,0.764615
633847,0.732119,0.107717,0.555254
647858,0.388722,0.072695,0.515886
664757,0.320049,0.055146,0.490000
680957,0.156512,0.060453,0.679762
692964,0.272558,0.074084,0.642401
694362,0.188508,0.082445,0.700000
720337,0.438111,0.046980,0.508658
728454,0.184440,0.073936,0.629926
729557,0.109123,0.059235,0.560870
734045,0.243721,0.075448,0.586182
744553,0.555667,0.089525,0.548611
759869,0.141927,0.055551,0.659420
763557,0.232980,0.123479,0.596014
782561,0.132080,0.062377,0.558442
783462,0.309491,0.058268,0.591667
800941,0.280551,0.072700,0.582011
812746,0.447420,0.057554,0.496429
815247,0.556184,0.083210,0.562831
837964,0.212158,0.161169,0.666667
844961,0.084213,0.062086,0.583333
849971,0.153122,0.068301,0.578063
884064,0.222710,0.083779,0.532609
894673,0.288993,0.063205,0.658333
910443,0.155550,0.053772,0.488142
930449,0.233782,0.057739,0.534632
943862,0.243677,0.069134,0.479167
978578,0.285523,0.072720,0.623518
