subj,abs_mean,rel_mean,pct_removed
101309,0.416328,0.050737,0.658182
102715,0.191586,0.068884,0.517857
103414,0.258214,0.096727,0.624339
104820,0.316937,0.123413,0.732143
105115,0.152691,0.057989,0.501190
107422,0.156807,0.064785,0.548462
108121,0.438702,0.172949,0.634848
108323,0.263707,0.049128,0.736467
109325,0.250603,0.126171,0.589286
113922,0.282889,0.075049,0.609375
115724,0.175486,0.041670,0.563492
117122,0.191269,0.081320,0.717143
118730,0.173378,0.110367,0.683468
119833,0.331866,0.126761,0.636949
120414,0.408522,0.057855,0.657143
120717,0.415118,0.091818,0.651515
122620,0.319968,0.061874,0.682692
123925,0.505256,0.110924,0.681159
124624,0.270476,0.135290,0.693323
128026,0.520998,0.093106,0.476344
128632,0.143733,0.065588,0.587857
129028,0.117983,0.070661,0.560345
129129,0.382194,0.085288,0.673913
130518,0.437859,0.141906,0.592593
133019,0.286870,0.068105,0.492424
133625,0.105581,0.058223,0.547082
133827,0.392599,0.062066,0.543561
135124,0.199997,0.042609,0.604978
136833,0.278960,0.100745,0.634615
137027,0.142485,0.060199,0.692971
137229,0.182088,0.109269,0.551839
138534,0.147454,0.078954,0.396429
139637,0.245924,0.081939,0.604167
139839,0.361862,0.062080,0.698006
141422,0.253734,0.068204,0.660326
143325,0.647425,0.096304,0.543103
143426,0.329098,0.049175,0.665385
144731,0.258265,0.120005,0.552182
144832,0.319905,0.085240,0.720443
144933,0.500308,0.089947,0.553605
149236,0.273123,0.072838,0.537778
149741,2.185010,0.125760,0.617647
149842,0.536261,0.071353,0.625000
150524,0.265404,0.075560,0.706923
156031,0.234633,0.097670,0.551839
156536,0.300662,0.050313,0.429598
157942,0.196682,0.064559,0.711470
158540,0.181926,0.136922,0.712121
159946,0.679227,0.087339,0.509470
160830,1.245748,0.073034,0.878571
160931,0.212643,0.061978,0.700000
162228,0.107772,0.060894,0.439259
163331,0.276373,0.188293,0.590062
164030,0.125830,0.052658,0.550000
167440,0.302349,0.069263,0.636905
170934,0.178491,0.096263,0.499259
172433,0.168922,0.057420,0.320513
172534,0.633125,0.058333,0.715385
173334,0.493860,0.063769,0.500386
173839,0.458020,0.076683,0.582011
176037,0.552490,0.076332,0.771304
178849,0.231201,0.074837,0.558182
188751,0.449350,0.135444,0.612500
191336,0.224129,0.059274,0.611111
192035,0.311832,0.074807,0.676407
195041,0.091234,0.086286,0.511905
195849,0.120469,0.073562,0.564324
200311,0.609394,0.072645,0.480000
200513,0.365144,0.059777,0.651279
200614,0.164026,0.110461,0.630556
201111,0.266578,0.056629,0.689286
201818,0.124192,0.048804,0.627706
202820,0.439018,0.085558,0.477273
204016,0.657119,0.098245,0.470186
204218,0.324148,0.075505,0.361765
204622,0.586171,0.089637,0.586060
205220,0.113603,0.093137,0.434783
206323,0.727031,0.135392,0.700091
206929,0.152417,0.077871,0.517857
210617,0.142130,0.083903,0.532258
211316,0.132566,0.080840,0.695887
213421,0.251465,0.112180,0.663594
214726,0.321126,0.073944,0.736453
217126,0.264105,0.060599,0.547721
219231,0.555033,0.077028,0.584046
238033,0.784064,0.050654,0.620027
257542,0.234133,0.074806,0.637566
257946,0.394889,0.094852,0.519231
285446,0.171393,0.050636,0.587121
290136,0.203703,0.060280,0.574815
295146,0.506379,0.138062,0.708223
304020,0.163109,0.094234,0.698718
346945,0.175611,0.089140,0.545635
356948,0.180750,0.061143,0.611111
361941,0.413169,0.074932,0.662644
366446,2.440245,0.106658,0.686536
371843,0.282942,0.093777,0.376263
377451,0.325140,0.063807,0.484375
380036,0.288706,0.070041,0.674167
386250,0.096324,0.062787,0.516129
394956,0.187733,0.057407,0.635582
397154,0.372309,0.073881,0.631813
429040,0.195530,0.063067,0.529231
441939,0.690902,0.074537,0.584754
449753,0.326086,0.069524,0.614532
475855,0.294367,0.081782,0.610920
481951,0.397518,0.059303,0.563364
510225,0.348865,0.066091,0.618386
516742,0.337201,0.099164,0.717857
520228,0.698327,0.078836,0.530208
523032,0.399910,0.059949,0.737143
524135,0.156081,0.063996,0.582672
525541,0.267852,0.090830,0.660714
541640,0.179554,0.057112,0.593407
552241,2.301435,0.097315,0.701970
597869,0.165604,0.080874,0.394286
598568,0.282938,0.059582,0.566667
617748,0.329472,0.131826,0.553571
627852,0.432077,0.055672,0.634815
633847,0.474988,0.142272,0.471510
647858,0.321307,0.084675,0.602823
664757,0.164339,0.081514,0.596059
680957,0.355840,0.128368,0.441176
692964,1.112895,0.087859,0.735065
694362,0.430183,0.063937,0.635582
720337,0.398552,0.052280,0.554917
728454,0.160647,0.077800,0.625611
729557,0.135292,0.070662,0.576923
734045,0.395267,0.078454,0.646753
744553,0.315689,0.088823,0.715368
759869,0.261903,0.070206,0.595862
763557,0.203421,0.096431,0.545727
782561,0.221452,0.068196,0.608696
783462,0.144811,0.066835,0.644253
800941,0.390343,0.064833,0.648580
812746,0.265587,0.065275,0.748404
815247,0.566043,0.075699,0.717236
837964,0.446891,0.155747,0.675325
844961,0.168401,0.057354,0.611801
849971,0.137178,0.061816,0.686154
884064,0.321790,0.077292,0.581731
894673,0.151224,0.068036,0.744615
910443,0.198967,0.067768,0.678161
930449,0.532600,0.051285,0.615942
943862,0.138393,0.067040,0.473522
978578,0.186177,0.078129,0.680000
