subj,abs_mean,rel_mean,pct_removed
101309,0.507140,0.050849,0.623562
102715,0.259415,0.071586,0.463619
103414,0.445643,0.083585,0.649052
104820,0.487813,0.123892,0.630532
105115,0.222415,0.063268,0.489014
107422,0.140572,0.061924,0.495262
108121,0.424685,0.173508,0.581953
108323,0.348516,0.053238,0.706309
109325,0.319398,0.125120,0.567969
113922,0.312336,0.069041,0.571963
115724,0.128607,0.053649,0.503609
117122,0.379328,0.074489,0.661804
118730,0.329224,0.097172,0.602002
119833,0.348251,0.113940,0.593903
120414,0.497750,0.057866,0.600673
120717,0.698678,0.083602,0.604035
122620,0.299737,0.055911,0.637954
123925,0.888986,0.105052,0.666599
124624,0.249842,0.119345,0.555716
128026,0.582693,0.092819,0.450484
128632,0.317731,0.069986,0.555625
129028,0.119790,0.061620,0.504080
129129,0.375205,0.081692,0.573066
130518,0.510361,0.157758,0.553107
133019,0.444152,0.071374,0.503401
133625,0.189602,0.069437,0.600575
133827,0.328816,0.081474,0.536749
135124,0.231407,0.053098,0.583278
136833,0.328389,0.092198,0.555940
137027,0.242990,0.057969,0.667133
137229,0.176633,0.115519,0.549735
138534,0.179463,0.076311,0.500973
139637,0.313433,0.071564,0.571078
139839,0.383246,0.062552,0.635679
141422,0.353392,0.060331,0.612291
143325,0.794637,0.101301,0.555017
143426,0.499357,0.060936,0.686621
144731,0.328373,0.127953,0.583247
144832,0.648783,0.083732,0.652189
144933,0.346101,0.090837,0.526349
149236,0.265120,0.078678,0.533314
149741,0.958432,0.126025,0.615211
149842,0.327514,0.066439,0.535208
150524,0.236805,0.078916,0.590962
156031,0.281105,0.098540,0.495660
156536,0.272545,0.048964,0.388372
157942,0.187894,0.064843,0.638341
158540,0.272303,0.106334,0.626539
159946,0.507432,0.079621,0.556912
160830,0.921901,0.088903,0.761215
160931,0.363347,0.064697,0.647616
162228,0.211879,0.064092,0.471460
163331,0.274041,0.186714,0.565624
164030,0.175842,0.047128,0.525574
167440,0.306569,0.077798,0.542542
170934,0.273431,0.085253,0.458037
172433,0.202468,0.055825,0.406424
172534,0.405011,0.056597,0.590175
173334,0.321532,0.059312,0.527406
173839,0.725154,0.096335,0.580371
176037,0.606965,0.093844,0.671521
178849,0.342964,0.064514,0.488553
188751,0.521118,0.126884,0.509561
191336,0.285679,0.066414,0.628965
192035,0.474682,0.073200,0.632376
195041,0.115682,0.095307,0.451863
195849,0.209699,0.084045,0.539342
200311,0.475967,0.074837,0.531110
200513,0.381829,0.052784,0.574304
200614,0.204429,0.113355,0.532648
201111,0.221650,0.051984,0.638000
201818,0.159369,0.051485,0.577390
202820,0.579298,0.104695,0.456337
204016,0.535827,0.101371,0.467024
204218,0.400436,0.082013,0.397646
204622,0.588026,0.094033,0.547636
205220,0.191227,0.129844,0.492524
206323,0.699340,0.135848,0.665094
206929,0.421116,0.087739,0.485681
210617,0.243841,0.066723,0.495080
211316,0.271062,0.091458,0.690903
213421,0.291553,0.104540,0.594166
214726,0.291205,0.077112,0.650413
217126,0.302052,0.074982,0.543771
219231,0.346462,0.068497,0.542175
238033,0.686373,0.055643,0.627723
257542,0.202335,0.082253,0.610169
257946,0.454119,0.100728,0.528994
285446,0.299792,0.050466,0.537467
290136,0.256495,0.080275,0.566229
295146,0.530800,0.174636,0.677444
304020,0.276791,0.106535,0.685180
346945,0.247331,0.105171,0.483107
356948,0.377466,0.061301,0.577939
361941,0.535094,0.068040,0.553902
366446,1.233460,0.132373,0.632813
371843,0.482769,0.083280,0.442527
377451,0.616536,0.070859,0.542608
380036,0.233839,0.081023,0.519443
386250,0.311615,0.064519,0.536259
394956,0.280959,0.056114,0.538015
397154,0.394829,0.072358,0.598526
429040,0.217722,0.071860,0.591122
441939,0.994722,0.093926,0.588731
449753,0.424059,0.072146,0.590932
475855,0.344538,0.081726,0.541401
481951,0.536013,0.053082,0.560704
510225,0.226225,0.072182,0.534187
516742,0.387218,0.103213,0.663141
520228,0.493550,0.080468,0.537091
523032,0.304106,0.072434,0.689449
524135,0.294859,0.058815,0.545270
525541,0.403781,0.093684,0.630450
541640,0.209983,0.046773,0.520990
552241,1.277986,0.105722,0.697716
597869,0.174382,0.091603,0.349472
598568,0.287240,0.054048,0.611864
617748,0.508264,0.125975,0.538402
627852,0.668744,0.065390,0.701559
633847,0.707368,0.122602,0.487842
647858,0.365727,0.080185,0.553936
664757,0.509592,0.073542,0.558545
680957,0.374240,0.097492,0.564401
692964,0.744776,0.081758,0.629969
694362,0.304060,0.076065,0.632418
720337,0.424889,0.051435,0.541065
728454,0.251935,0.078181,0.568310
729557,0.174454,0.061858,0.547319
734045,0.375321,0.080257,0.571633
744553,0.479663,0.084715,0.604779
759869,0.430731,0.071171,0.608919
763557,0.275285,0.101955,0.537057
782561,0.251723,0.063318,0.568464
783462,0.266495,0.061233,0.612542
800941,0.447355,0.081433,0.625242
812746,0.531594,0.065040,0.642621
815247,0.579221,0.077660,0.623363
837964,0.396872,0.147148,0.643604
844961,0.170989,0.060071,0.578992
849971,0.205590,0.066715,0.621825
884064,0.313250,0.081058,0.520639
894673,0.216148,0.064617,0.655850
910443,0.260577,0.060443,0.578243
930449,0.305380,0.059730,0.529162
943862,0.206080,0.063413,0.459465
978578,0.341788,0.084667,0.646686
