subj,gam-wm,gam-emo,gam-soc,wm-soc,wm-emo,soc-emo
201818,-0.008300,0.136800,0.120500,-0.124800,-0.101800,0.330200
202820,-0.010400,-0.024200,0.091100,-0.009000,-0.033100,0.011500
204016,0.138400,0.089600,-0.058200,-0.009500,0.068700,0.108600
204218,0.129200,-0.152400,0.003400,0.096600,-0.106100,-0.032900
204622,0.015800,0.022700,0.163900,0.123200,-0.072900,0.094500
205220,0.056000,0.125700,0.023500,0.185300,0.258600,0.251200
206323,-0.012400,-0.036600,-0.012300,0.008100,-0.032700,0.021500
206929,-0.073200,-0.050200,0.045100,0.122400,0.046200,0.132700
210617,0.125400,0.167200,0.014100,-0.126700,-0.022800,0.229800
211316,0.005500,0.003700,0.009500,-0.134500,-0.025900,0.055800
213421,-0.078800,0.122200,0.055300,0.030600,0.136700,0.137300
214726,-0.023400,0.030000,0.054800,-0.084400,0.003500,0.212400
217126,0.026300,-0.025500,0.073000,-0.224500,-0.096200,0.079900
219231,0.148300,0.021400,0.075900,-0.097400,0.030900,0.140400
238033,0.090200,-0.135900,-0.076100,0.003700,-0.041600,0.237300
257542,-0.066500,-0.088500,0.043500,-0.192900,-0.021400,0.212700
257946,-0.160400,0.056000,0.035600,-0.003200,-0.049900,-0.001800
285446,-0.004400,-0.087100,0.007600,0.066100,0.130000,0.309300
290136,-0.077900,0.105700,0.063000,-0.083400,-0.092900,0.351000
295146,0.017900,0.093500,0.030400,-0.024300,0.016400,0.085700
304020,0.157300,-0.058600,-0.029000,-0.137500,-0.078600,0.172700
346945,-0.014700,0.017800,0.055700,-0.106300,0.027900,0.107200
356948,-0.054800,0.106800,-0.018400,-0.190900,0.097500,-0.045200
361941,-0.215700,-0.032400,0.038300,-0.107500,0.067500,-0.053600
366446,0.101000,0.034300,0.076200,-0.013500,-0.055500,0.102300
371843,0.050100,-0.043800,0.011900,0.010800,0.033800,0.143100
377451,0.155100,0.026000,-0.005700,0.124200,-0.170800,0.099900
380036,0.240600,-0.036300,-0.003600,-0.057700,0.019800,0.206000
386250,0.192800,0.023700,0.006100,-0.077400,-0.172000,0.141300
394956,-0.108700,-0.086800,-0.011900,0.084300,0.114300,0.252000
397154,0.189500,-0.087700,-0.004000,0.092100,-0.176100,0.066800
429040,0.095400,0.062900,-0.013400,-0.183800,0.103000,0.009900
441939,0.067700,0.082600,0.157200,0.128100,0.189600,0.098400
449753,-0.152500,0.167700,-0.019800,-0.046800,-0.114300,0.092500
475855,-0.142000,0.190800,0.085400,-0.018100,-0.122600,0.029300
481951,-0.023700,0.009700,0.033500,-0.082300,-0.060700,0.093500
510225,0.218600,0.012600,-0.016500,0.111800,0.157900,0.256700
516742,-0.122800,0.034500,-0.106300,-0.022700,-0.125100,-0.102600
520228,0.050000,-0.048000,0.093300,-0.072200,0.033900,0.115300
523032,0.088800,0.121200,0.186600,-0.124500,-0.055700,0.178100
524135,0.249000,0.255800,0.071300,0.105800,0.196600,0.246100
525541,-0.117700,-0.003300,0.080100,-0.160800,-0.062000,0.056500
541640,0.022600,0.093100,0.072800,0.036800,0.051100,0.129000
552241,0.020900,-0.018400,0.092200,-0.075900,-0.124900,0.194900
597869,-0.234700,0.029600,0.092000,-0.093700,0.018100,0.193000
598568,0.054300,-0.023100,0.020800,0.107100,-0.097500,0.120900
617748,-0.002000,0.059900,-0.019900,-0.031400,0.168700,0.161300
627852,-0.075100,0.038400,-0.163400,-0.271400,-0.022500,0.110900
633847,0.155900,0.069900,0.039700,0.153600,0.089000,0.197600
647858,-0.275100,-0.128800,-0.102300,-0.006100,0.013400,0.095100
664757,0.094700,0.004200,-0.030900,-0.136000,-0.098400,0.126100
680957,0.047500,0.042600,-0.076300,0.058700,0.005100,0.051100
692964,-0.001400,0.040900,0.044800,-0.125900,0.057300,0.158200
694362,-0.144700,0.004500,-0.103500,0.194000,-0.228500,-0.061000
720337,0.368500,0.264800,-0.239400,-0.304600,0.283900,-0.059000
728454,0.117700,0.223200,0.001500,-0.016400,0.004400,0.180900
729557,-0.132600,0.016500,0.032800,-0.085900,0.011800,0.256600
734045,-0.038200,0.016600,0.003500,-0.101000,-0.159100,0.244600
744553,0.058700,0.139200,-0.060700,-0.039700,-0.051900,-0.018000
759869,-0.079900,-0.058600,0.202700,0.065200,0.072500,0.116300
763557,-0.105400,-0.017600,-0.013200,0.037000,0.019900,0.116000
782561,0.037200,0.026500,0.036500,-0.116700,0.046100,0.175400
783462,-0.110200,0.042100,0.060600,-0.156400,0.092000,0.268100
800941,0.113300,-0.006500,0.126900,-0.081400,-0.045400,0.264000
812746,0.028500,0.022100,-0.001500,0.167200,0.015300,0.219700
815247,0.024600,0.109500,0.078900,-0.152400,0.171900,0.108800
837964,0.023600,0.043400,-0.033400,0.237200,0.036000,0.135100
844961,0.069900,-0.090700,0.069800,0.064200,0.002200,0.220600
849971,0.047800,-0.011700,0.062500,-0.069100,-0.078200,0.103400
884064,-0.080900,0.102300,0.093400,0.042000,0.022000,0.311800
894673,0.016900,0.048500,0.070100,-0.042900,0.150300,0.193900
910443,0.139900,0.138400,0.022700,-0.017800,-0.038600,0.197700
930449,0.028600,0.068600,-0.009700,-0.182500,0.080200,0.066700
943862,0.136100,0.118000,0.069700,0.026900,0.008600,0.183700
978578,0.062100,-0.080100,0.087400,0.128600,0.133600,0.306300
