subj,gam-wm,gam-emo,gam-soc,wm-soc,wm-emo,soc-emo
101309,0.119100,-0.006600,0.117200,-0.047600,0.026900,0.063100
102715,-0.124600,-0.036100,0.083500,-0.235200,0.166500,-0.001600
103414,-0.086100,0.103200,-0.046100,-0.016300,0.028200,0.180000
104820,0.080900,0.035900,-0.085700,0.016400,0.063300,0.224800
105115,0.018500,-0.049900,0.027600,-0.046400,-0.016700,0.132000
107422,-0.057800,-0.071700,0.005200,-0.365900,-0.036100,0.256400
108121,0.027900,0.064100,0.013900,0.017100,-0.224500,0.015200
108323,0.045300,-0.011300,-0.039500,-0.100100,-0.148700,0.241300
109325,-0.096800,0.005700,0.105000,-0.123100,0.011000,-0.030900
113922,0.002800,-0.082500,0.040000,-0.108500,-0.149900,0.194700
115724,0.029900,0.080000,0.013900,-0.079500,-0.073700,0.153800
117122,-0.099900,-0.003700,-0.123100,-0.009900,0.158100,0.188300
118730,-0.075300,0.013900,0.078200,-0.140800,-0.025900,0.219600
119833,-0.065700,-0.017500,0.231200,0.002900,-0.163100,0.111200
120414,-0.246300,0.096400,0.113700,-0.183000,-0.087900,0.229300
120717,0.156300,-0.005500,0.076000,0.119100,0.062100,0.306200
122620,-0.115700,0.017600,0.008200,-0.175700,-0.076100,0.181900
123925,0.108000,-0.050700,0.006100,0.039100,-0.030900,0.071700
124624,-0.120200,-0.015300,0.016900,0.044300,0.151000,0.220800
128026,0.070400,0.104700,-0.028900,-0.024000,-0.060000,0.048100
128632,-0.051700,0.076500,0.005000,-0.146000,-0.094100,0.032600
129028,-0.061000,-0.008400,0.081400,-0.304300,0.017600,0.069800
129129,0.016300,0.079200,0.100800,-0.115900,-0.045600,0.083600
130518,0.048400,0.027900,-0.027700,-0.005400,-0.049700,0.092000
133019,0.099300,0.036600,-0.018200,-0.030600,0.118100,0.197100
133625,-0.056600,0.179000,-0.082200,-0.108700,0.021300,0.052300
133827,0.046900,0.033700,0.106400,-0.000400,0.018200,0.062200
135124,-0.041600,-0.015800,-0.019800,-0.081600,0.070600,0.221200
136833,-0.159000,0.153200,-0.036100,-0.018800,-0.063300,0.067900
137027,0.182900,0.331700,0.107100,0.079100,0.247000,0.210700
137229,-0.109000,0.031600,-0.008700,-0.112200,-0.265800,0.127300
138534,-0.121700,0.000700,-0.035100,-0.120200,-0.089000,0.249700
139637,0.042600,0.080000,0.080900,-0.142900,-0.026900,0.011300
139839,-0.234500,0.055500,0.070700,-0.221400,-0.200400,0.110000
141422,-0.042100,0.025300,-0.001400,-0.022000,0.011600,0.106800
143325,-0.120000,-0.016500,0.105200,-0.104700,0.237100,0.062100
143426,-0.183000,-0.006700,-0.197200,0.178200,-0.010500,0.040100
144731,0.210100,0.089300,0.022400,-0.059300,0.004700,0.309600
144832,-0.052600,-0.041000,0.044900,-0.106300,-0.007600,0.198200
144933,-0.077900,0.030500,0.070900,-0.067900,-0.190200,0.218900
149236,-0.001900,0.034700,-0.086400,-0.114500,-0.007600,0.283100
149741,-0.101100,-0.069000,0.091200,-0.035900,0.024600,-0.088500
149842,-0.251200,0.111800,0.111500,-0.250100,-0.113200,0.001100
150524,-0.159300,0.056100,0.137800,-0.036400,-0.066900,0.271200
156031,0.227700,0.063100,0.158900,0.113300,0.047600,0.267100
156536,0.071200,0.221300,0.040900,0.038500,0.031600,0.246100
157942,0.296700,0.067500,0.212100,0.288800,0.032100,0.188300
158540,0.113900,0.044400,0.025500,-0.086700,-0.095300,0.121900
159946,0.103600,0.076100,-0.040500,-0.131100,0.278500,0.165200
160830,-0.199400,0.031700,0.152900,0.013100,0.006600,0.159100
160931,0.257100,0.019400,0.007900,-0.137600,0.052400,0.180500
162228,-0.029600,0.047900,0.034500,-0.203100,-0.145100,0.330300
163331,0.003500,0.007000,0.034300,-0.128300,-0.005000,0.144700
164030,-0.050500,-0.107900,-0.140500,0.086800,-0.009700,0.157900
167440,-0.012800,0.052700,-0.057900,-0.181200,0.204800,0.014600
170934,-0.126200,0.011600,-0.029900,0.085600,0.117300,0.160700
172433,-0.218800,0.137900,0.088300,-0.066000,-0.136100,0.167500
172534,-0.001000,-0.007400,-0.007500,0.040100,0.125300,0.203500
173334,-0.122200,-0.047100,0.075000,-0.113800,0.045800,0.103200
173839,-0.006000,0.032800,0.021500,-0.007800,0.010400,0.009900
176037,0.046900,0.096500,-0.038500,-0.050000,0.177300,0.124800
178849,-0.102100,0.003100,0.044400,-0.062300,0.027900,0.110500
188751,0.045800,0.025900,0.099700,0.067400,0.093800,0.259600
191336,0.043600,-0.109500,0.108300,0.053900,0.075200,0.116300
192035,0.073900,-0.021300,0.078000,-0.044900,-0.023900,0.088700
195041,0.039900,0.127400,0.057700,0.181200,0.085100,0.161900
195849,-0.087900,0.025900,0.062000,-0.033900,-0.099700,0.125900
200311,0.020200,-0.101900,-0.072400,0.030700,0.079700,0.249600
200513,0.057000,0.006900,0.031700,-0.090400,-0.133700,0.026500
200614,0.101800,0.028600,-0.070400,-0.066100,0.012800,0.179700
201111,0.035800,0.046000,0.062300,0.124300,-0.048100,0.080000
