subj,csnmap1,csnmap2,csnmap3,csnmap4,csnmap5,csnmap6,csnmap7
101309,0.005900,-0.056300,0.043100,0.044100,0.069000,0.096900,0.017200
102715,0.006900,0.013600,0.009400,0.024600,0.049500,0.019600,0.014400
103414,0.024500,0.013100,0.016600,0.031600,0.058600,0.036300,0.044900
104820,0.036200,0.020800,0.001100,0.002100,0.003500,-0.002800,0.017800
105115,-0.003800,0.002100,0.005900,0.016800,0.037400,0.037400,0.009600
107422,-0.010100,0.040800,-0.012300,-0.004500,0.020800,-0.006100,0.005300
108121,-0.022300,0.027000,-0.044500,-0.042400,-0.047300,-0.024000,-0.024400
108323,-0.023700,0.064200,-0.036300,-0.049600,-0.046500,-0.062900,-0.028700
109325,0.019100,-0.015600,-0.004700,0.008200,0.008900,0.017800,0.012100
113922,0.015100,0.045100,-0.015700,-0.023900,-0.035000,-0.040500,-0.003600
115724,0.001700,-0.070200,0.042600,0.064400,0.102900,0.116400,0.043400
117122,-0.002800,-0.018600,-0.006200,-0.015200,-0.021000,-0.002900,-0.004200
118730,0.022000,0.028300,0.000900,-0.001000,-0.001700,0.005300,0.004000
119833,0.015300,-0.084600,0.051000,0.067900,0.081100,0.092600,0.037600
120414,-0.005400,0.036200,-0.016200,0.005000,0.020600,0.001400,0.016500
120717,0.023500,-0.022300,0.004400,0.021900,0.014000,0.064100,0.012400
122620,0.032600,-0.007600,0.012900,0.031800,0.036300,0.074500,0.026900
123925,0.039000,0.004400,-0.000700,0.008300,0.014800,0.032500,0.022300
124624,-0.054100,-0.010300,-0.011200,-0.012700,-0.000200,-0.024800,-0.024200
128026,0.031700,-0.049700,0.030400,0.017700,0.037700,0.053600,0.021100
128632,-0.012500,-0.045300,0.024400,0.022600,0.039500,0.049800,0.003300
129028,-0.015300,0.019300,-0.018000,-0.009900,-0.024400,-0.027600,-0.006100
129129,0.007400,-0.072600,0.022900,0.025100,0.056400,0.054400,0.020200
130518,0.015400,-0.058000,0.026900,0.040100,0.049900,0.077500,0.021800
133019,-0.024600,-0.022400,0.034300,0.019300,0.045700,0.034900,-0.011400
133625,0.031200,0.046400,-0.016200,-0.003100,-0.010100,0.019600,0.011500
133827,0.025900,-0.054900,0.040900,0.050100,0.068700,0.069400,0.033800
135124,-0.014700,0.020400,-0.030400,-0.030600,-0.043600,-0.045600,-0.013500
136833,-0.018100,0.026000,-0.015300,-0.020100,-0.013400,-0.028800,0.000200
137027,0.042700,-0.060400,0.056200,0.059700,0.102400,0.124100,0.049100
137229,-0.007100,0.009400,-0.018300,-0.021700,-0.026100,-0.046600,-0.018600
138534,0.008600,0.021900,-0.011800,-0.008300,0.005600,-0.008500,0.014800
139637,0.019700,0.013700,0.003400,0.019900,0.026400,0.056200,0.021900
139839,-0.001200,-0.041700,0.041100,0.041900,0.057800,0.043000,0.024600
141422,-0.006300,0.046800,-0.028500,-0.024500,-0.023300,-0.032200,-0.011400
143325,0.007900,0.045400,-0.021100,-0.023100,-0.025900,-0.060000,0.002200
143426,0.011400,-0.029600,0.023100,0.045300,0.037600,0.045400,0.024700
144731,-0.012800,-0.032600,0.020000,0.034000,0.049000,0.072200,0.009800
144832,-0.024700,0.042300,-0.018600,-0.026600,-0.026000,-0.040000,-0.017300
144933,-0.008600,-0.007700,0.000800,0.008100,0.003000,-0.021700,0.000200
149236,0.000500,0.013300,-0.023200,-0.030000,-0.025400,-0.007800,-0.011500
149741,-0.033300,0.031300,-0.039100,-0.029100,-0.026600,-0.034700,-0.018800
149842,-0.006200,-0.046200,0.045300,0.055800,0.096200,0.089400,0.031500
150524,0.053500,-0.053700,0.054800,0.067600,0.082300,0.068500,0.066800
156031,0.040700,-0.037400,0.039100,0.045900,0.072000,0.054200,0.028800
156536,0.033800,0.009500,0.018900,0.019500,0.036600,0.032200,0.036300
157942,0.043900,-0.066000,0.030000,0.033200,0.042700,0.070100,0.031400
158540,-0.012900,-0.067600,-0.005300,-0.005100,-0.003400,0.054300,-0.022800
159946,0.022900,0.015400,0.001900,0.004300,0.009900,0.026600,0.006000
160830,0.026500,0.046100,-0.014500,-0.023500,-0.025800,-0.040300,-0.009400
160931,0.027100,0.019800,-0.010600,0.001400,-0.007500,0.011800,-0.006200
162228,-0.011000,0.063300,-0.024300,-0.025400,-0.023100,-0.024300,-0.006300
163331,-0.019300,0.022200,-0.041500,-0.032400,-0.049100,-0.022500,-0.014000
164030,-0.035600,0.084000,-0.078800,-0.092000,-0.135400,-0.148500,-0.057500
167440,-0.025000,-0.054500,0.019000,0.019400,0.052100,0.038700,0.008000
170934,-0.004400,0.037900,-0.027700,-0.014400,-0.015800,-0.019700,-0.000300
172433,-0.012200,0.042500,-0.031700,-0.042300,-0.047300,-0.070400,-0.014000
172534,0.018800,0.023000,0.012600,-0.001000,-0.003900,0.015500,0.010600
173334,-0.003700,0.028700,0.005400,0.003900,0.001500,-0.004800,-0.000800
173839,-0.038200,0.068100,-0.071300,-0.075500,-0.100000,-0.107200,-0.048800
176037,0.008700,-0.058900,0.045400,0.034100,0.069000,0.069800,0.012300
178849,0.002500,0.039600,-0.013800,0.005900,0.008200,0.013400,0.012300
188751,-0.009700,-0.033600,0.011500,0.008300,0.029800,0.027800,0.019900
191336,0.012700,-0.005700,0.035300,0.051700,0.046200,0.051600,0.037300
192035,0.001800,-0.020400,-0.023200,-0.029100,-0.037000,-0.023800,-0.017300
195041,0.010500,-0.031600,0.020700,0.027600,0.047200,0.070800,0.024700
195849,-0.002200,0.010500,0.006800,0.012500,0.009000,0.000400,0.016300
200311,0.036100,-0.004000,0.002600,0.010700,0.014600,0.032200,0.019100
200513,-0.019000,0.000500,-0.051300,-0.052900,-0.059600,-0.030300,-0.027700
200614,-0.012700,-0.035400,0.020800,0.019700,0.045400,0.045900,-0.002000
201111,-0.023600,0.009100,-0.038300,-0.032500,-0.048900,-0.036400,-0.021100
201818,0.016400,-0.012800,0.014900,0.017000,0.029000,0.016400,0.019800
202820,-0.029800,-0.053900,0.017400,0.015800,0.034400,0.020700,0.000400
204016,0.019700,-0.005900,0.003400,0.008900,0.010300,0.045500,0.016800
204218,-0.021900,-0.040700,0.005300,-0.008600,-0.012500,0.003700,-0.012600
204622,0.017200,0.019800,-0.020300,-0.008100,-0.023700,-0.006700,0.014600
205220,0.007200,-0.024800,0.010900,0.013800,0.026000,0.025600,0.015600
206323,-0.010400,0.045300,-0.031000,-0.026800,-0.031500,-0.031400,-0.020000
206929,-0.004100,-0.021300,0.023600,0.027300,0.031200,0.017400,-0.007200
210617,0.044300,-0.070000,0.070000,0.081800,0.088400,0.116700,0.036500
211316,-0.001500,0.025800,-0.000200,0.006100,0.012600,0.029000,-0.000100
213421,0.003500,0.001100,0.020600,0.033400,0.056400,0.029600,0.027600
214726,-0.004700,-0.018600,0.025300,0.025700,0.040300,0.044100,0.014700
217126,0.029600,-0.012500,0.011600,0.023400,-0.004800,0.022800,0.022900
219231,0.033600,-0.025800,0.025000,0.031900,0.045600,0.065700,0.018000
238033,-0.034500,-0.070100,0.005800,-0.010500,0.000900,-0.018400,-0.016100
257542,-0.011400,0.024600,-0.026900,-0.029400,-0.048800,-0.056900,-0.005800
257946,0.004200,-0.025000,0.012900,0.017500,0.015000,0.029600,-0.000600
285446,-0.015100,-0.042300,0.023700,0.009600,0.002400,0.005600,0.003700
290136,0.046900,-0.017500,0.022500,0.034100,0.052600,0.069800,0.031300
295146,-0.025200,-0.042800,0.007900,0.008500,0.020000,0.013700,-0.000400
304020,0.013200,-0.069400,0.036500,0.045700,0.067800,0.085400,0.032000
346945,-0.003700,-0.001400,-0.018500,-0.034600,-0.036200,-0.026300,-0.010800
356948,-0.003600,0.028900,-0.012800,0.008600,0.017500,0.023200,0.013100
361941,0.044200,-0.042800,0.057900,0.070000,0.088300,0.086400,0.039500
366446,0.015200,-0.010100,0.010300,0.002000,-0.003400,0.014100,0.003000
371843,-0.026100,-0.010200,-0.033900,-0.025700,-0.037600,0.026300,-0.024000
377451,-0.001100,0.088700,-0.069000,-0.052000,-0.061700,-0.040500,-0.022000
380036,0.013900,-0.030700,0.020800,-0.001600,0.002600,0.010300,-0.004900
386250,0.039500,-0.044400,0.051900,0.052400,0.083900,0.097100,0.043600
394956,-0.036800,0.053900,-0.039600,-0.025500,-0.025500,-0.021700,-0.024700
397154,0.006700,-0.047300,0.037700,0.038000,0.027500,0.053900,0.020300
429040,0.037300,-0.049700,0.061600,0.066100,0.071000,0.072500,0.040200
441939,0.017400,0.004800,-0.000100,-0.029400,-0.048000,-0.032700,-0.015000
449753,-0.006900,-0.025100,0.026100,0.027600,0.058000,0.012700,0.029200
475855,0.000400,0.051700,-0.016900,-0.028100,-0.026000,-0.059600,0.007600
481951,0.025300,-0.002700,0.015400,-0.000700,-0.001000,-0.020400,-0.004900
510225,-0.004500,-0.029500,0.002500,0.003300,0.006500,0.020600,-0.011700
516742,-0.039900,0.091000,-0.080500,-0.096200,-0.140100,-0.155000,-0.064000
520228,-0.038400,0.007800,-0.035000,-0.039300,-0.076200,-0.043700,-0.037100
523032,0.041600,-0.027800,0.054100,0.066200,0.081200,0.084000,0.043000
524135,-0.003200,0.003300,-0.021200,-0.009300,0.000200,0.063200,0.000700
525541,-0.027500,0.034400,-0.013900,0.006400,-0.007800,-0.002500,0.001100
541640,0.033600,0.025000,-0.024900,-0.006200,-0.015900,0.005500,0.018400
552241,-0.026400,-0.030100,-0.009200,0.010400,-0.019900,0.009700,-0.010900
597869,-0.022500,0.021400,-0.021400,-0.022900,0.006400,-0.015100,-0.001200
598568,-0.007400,0.011000,-0.019100,-0.008100,-0.016800,0.001100,-0.003800
617748,-0.018400,0.062100,-0.075600,-0.075300,-0.093500,-0.077200,-0.039000
627852,0.000800,-0.058200,0.056000,0.059500,0.088500,0.065500,0.032200
633847,0.026600,-0.049500,0.030400,0.040500,0.058000,0.100300,0.037800
647858,0.024800,0.095600,-0.028300,-0.007400,0.006400,-0.037000,0.029700
664757,0.009000,0.034700,-0.024200,-0.035600,-0.046100,-0.075300,-0.016400
680957,-0.016200,0.021200,-0.019200,-0.011700,-0.001000,0.010800,0.009500
692964,-0.021400,0.020400,-0.018900,-0.033400,-0.052900,-0.052800,-0.024600
694362,-0.033300,0.048800,-0.044600,-0.040700,-0.041900,-0.049700,-0.013300
720337,0.033000,-0.024700,0.021700,0.019800,0.035300,0.077400,0.014500
728454,0.015500,-0.003400,-0.018600,-0.011500,0.005500,0.040600,0.010500
729557,0.024000,-0.077200,0.055200,0.056000,0.075300,0.098400,0.042800
734045,0.014800,0.026600,-0.007200,-0.015100,-0.003200,0.000300,0.006200
744553,0.025400,-0.072000,0.036900,0.030600,0.055200,0.079600,0.026300
759869,-0.041500,0.003800,-0.010800,-0.006700,0.007400,-0.024000,-0.021300
763557,0.012900,0.029500,-0.001700,-0.006100,0.008900,-0.011900,0.005500
782561,-0.003400,0.002200,0.004800,-0.003200,0.004700,0.004300,-0.009800
783462,0.025900,0.002400,0.012900,0.020900,0.049400,0.054500,0.030500
800941,0.017000,-0.061100,0.062900,0.046400,0.048000,0.044700,0.025900
812746,-0.020300,-0.002500,-0.020000,-0.004300,-0.002900,-0.011400,-0.007600
815247,0.015200,-0.013800,0.009300,0.022900,0.024400,0.050800,0.028900
837964,-0.012800,0.009900,-0.008000,-0.001300,0.001900,0.005100,0.003400
844961,0.037700,-0.062300,0.047700,0.031200,0.039000,0.036200,0.025900
849971,-0.012600,-0.056500,0.011700,-0.000500,0.015800,0.037300,-0.016300
884064,-0.023300,0.019000,-0.006200,0.008500,0.017700,0.007200,0.004400
894673,0.003800,0.044700,-0.024300,-0.011300,-0.016800,-0.006000,0.002800
910443,0.001900,-0.025100,0.034600,0.034100,0.073200,0.077000,0.020700
930449,-0.003500,-0.037700,0.024900,0.031700,0.045100,0.054300,0.014500
943862,0.008700,-0.048500,0.040900,0.048600,0.064600,0.090100,0.025800
978578,0.020700,0.045000,-0.004900,-0.000600,0.001200,-0.010200,0.017100
