subj,abs_mean,rel_mean,pct_removed
101309,0.514209,0.051069,0.636949
102715,0.412953,0.087112,0.300752
103414,0.927057,0.085969,0.643264
104820,0.991907,0.116561,0.653439
105115,0.324526,0.066499,0.555183
107422,0.147073,0.068009,0.514706
108121,0.629230,0.167611,0.595009
108323,0.304544,0.045754,0.712418
109325,0.260922,0.136054,0.531140
113922,0.623671,0.076297,0.567568
115724,0.139684,0.044987,0.550505
117122,0.454983,0.084472,0.661029
118730,0.484924,0.104772,0.554942
119833,0.496992,0.125475,0.674216
120414,0.364587,0.053078,0.470186
120717,1.260093,0.107209,0.643791
122620,0.302534,0.061759,0.692235
123925,1.273156,0.103498,0.704284
124624,0.173770,0.115876,0.469669
128026,0.325997,0.102624,0.349013
128632,0.539631,0.067584,0.590223
129028,0.159963,0.072776,0.584754
129129,0.494386,0.096027,0.630208
130518,0.753651,0.154695,0.613437
133019,0.294614,0.082628,0.513046
133625,0.143784,0.064449,0.587013
133827,0.358011,0.062245,0.537879
135124,0.417308,0.040649,0.560961
136833,0.341595,0.099947,0.514333
137027,0.584307,0.053659,0.710478
137229,0.186508,0.100069,0.543103
138534,0.194522,0.076227,0.470588
139637,0.530593,0.071747,0.631944
139839,0.557042,0.066204,0.612500
141422,0.538045,0.053260,0.565625
143325,1.046849,0.100036,0.595315
143426,0.427627,0.052633,0.645833
144731,0.262455,0.125970,0.596562
144832,0.922312,0.101464,0.714691
144933,0.403595,0.082426,0.545666
149236,0.321732,0.062718,0.522770
149741,0.922489,0.118253,0.611849
149842,0.458864,0.063374,0.468549
150524,0.271261,0.085530,0.500000
156031,0.261919,0.098485,0.509488
156536,0.291009,0.041270,0.350000
157942,0.321043,0.056330,0.681944
158540,0.419756,0.129620,0.650000
159946,0.565798,0.076692,0.411325
160830,1.083012,0.095627,0.693182
160931,0.573585,0.055439,0.621212
162228,0.205680,0.062609,0.526641
163331,0.244801,0.179993,0.592033
164030,0.180175,0.046082,0.508621
167440,0.263477,0.090388,0.555556
170934,0.208481,0.087535,0.400854
172433,0.376640,0.056370,0.289076
172534,0.464987,0.050192,0.585714
173334,0.184325,0.059931,0.519681
173839,0.503263,0.079653,0.575758
176037,1.333595,0.077827,0.706897
178849,0.302154,0.072504,0.451042
188751,0.738221,0.130633,0.443196
191336,0.607513,0.068344,0.634073
192035,0.533799,0.063567,0.567227
195041,0.118695,0.085018,0.364418
195849,0.281693,0.080918,0.493243
200311,0.838494,0.085852,0.424632
200513,0.593787,0.056412,0.548460
200614,0.216034,0.119356,0.489167
201111,0.396199,0.048680,0.600697
201818,0.195404,0.054550,0.465517
202820,0.474569,0.084832,0.422414
204016,0.655486,0.095307,0.443182
204218,0.335697,0.085018,0.420427
204622,0.220085,0.089786,0.539474
205220,0.287916,0.116766,0.421875
206323,1.142482,0.125567,0.684211
206929,0.669374,0.079994,0.487500
210617,0.366261,0.072747,0.600333
211316,0.261327,0.075234,0.648462
213421,0.365017,0.109976,0.583333
214726,0.245067,0.071716,0.588235
217126,0.235279,0.059006,0.522727
219231,0.564101,0.091777,0.598219
238033,0.985577,0.060752,0.624613
257542,0.188232,0.072006,0.634799
257946,0.705979,0.092857,0.521212
285446,0.351747,0.051536,0.574194
290136,0.337622,0.068810,0.540323
295146,0.845088,0.178443,0.708497
304020,0.335908,0.120239,0.697967
346945,0.254119,0.102596,0.507576
356948,0.239017,0.057931,0.539871
361941,1.055276,0.060197,0.533784
366446,1.115223,0.185212,0.744048
371843,0.998588,0.080399,0.520870
377451,0.763798,0.077347,0.590415
380036,0.325207,0.085958,0.395072
386250,0.245639,0.061182,0.493252
394956,0.357944,0.052721,0.520646
397154,0.813106,0.068425,0.630208
429040,0.249771,0.065331,0.568655
441939,1.794070,0.104158,0.658580
449753,0.549597,0.082020,0.646879
475855,0.657937,0.082863,0.600251
481951,0.785519,0.047858,0.550794
510225,0.201429,0.077452,0.562030
516742,0.317567,0.080839,0.600328
520228,0.869954,0.115901,0.610000
523032,0.374142,0.083307,0.657895
524135,0.609486,0.058984,0.548490
525541,0.320118,0.094745,0.613562
541640,0.369937,0.049131,0.485294
552241,1.906595,0.104463,0.701531
597869,0.228585,0.087705,0.333333
598568,0.383055,0.058934,0.658216
617748,0.714152,0.123462,0.578947
627852,1.332369,0.062074,0.666430
633847,0.844110,0.132475,0.407937
647858,0.368190,0.088408,0.566242
664757,0.875096,0.078234,0.605263
680957,0.546292,0.135161,0.504167
692964,0.898932,0.090207,0.663043
694362,0.235496,0.062772,0.534159
720337,0.423048,0.053360,0.548321
728454,0.286139,0.079674,0.468902
729557,0.352860,0.064282,0.587198
734045,0.479544,0.092697,0.566667
744553,0.645919,0.082776,0.599583
759869,0.548247,0.086139,0.602941
763557,0.245689,0.084517,0.515625
782561,0.484326,0.071264,0.590235
783462,0.220755,0.059156,0.625000
800941,0.891515,0.103802,0.714157
812746,0.754498,0.069105,0.637815
815247,0.498016,0.070934,0.632576
837964,0.605318,0.122230,0.683468
844961,0.273549,0.062610,0.600000
849971,0.313931,0.059600,0.656417
884064,0.493322,0.085262,0.513853
894673,0.250281,0.060071,0.640820
910443,0.271076,0.061662,0.623482
930449,0.198923,0.066340,0.517798
943862,0.212609,0.052426,0.474383
978578,0.674847,0.100652,0.697019
