subj,task,run,abs_mean,rel_mean,pct_removed
101309,SOCIAL,LR,0.559692,0.051542,0.535714
101309,SOCIAL,RL,0.259785,0.047482,0.586207
101309,WM,LR,0.457543,0.054483,0.617647
101309,WM,RL,0.570875,0.047655,0.656250
101309,GAMBLING,LR,0.568397,0.050826,0.636364
101309,GAMBLING,RL,0.264259,0.050647,0.680000
101309,EMOTION,LR,1.107670,0.055500,0.750000
101309,EMOTION,RL,0.268902,0.048654,0.526316
102715,SOCIAL,LR,0.292521,0.067539,0.483871
102715,SOCIAL,RL,0.249098,0.069671,0.437500
102715,WM,LR,0.250883,0.092697,0.285714
102715,WM,RL,0.575024,0.081527,0.315789
102715,GAMBLING,LR,0.162934,0.063528,0.571429
102715,GAMBLING,RL,0.220238,0.074239,0.464286
102715,EMOTION,LR,0.115041,0.062103,0.541667
102715,EMOTION,RL,0.209582,0.061380,0.608696
103414,SOCIAL,LR,0.291161,0.075093,0.642857
103414,SOCIAL,RL,0.138910,0.067544,0.653846
103414,WM,LR,0.518454,0.085164,0.580645
103414,WM,RL,1.335660,0.086774,0.705882
103414,GAMBLING,LR,0.307731,0.101214,0.629630
103414,GAMBLING,RL,0.208697,0.092240,0.619048
103414,EMOTION,LR,0.379202,0.076126,0.652174
103414,EMOTION,RL,0.385328,0.084525,0.708333
104820,SOCIAL,LR,0.469408,0.127241,0.576923
104820,SOCIAL,RL,0.480953,0.114663,0.590909
104820,WM,LR,0.548804,0.114633,0.592593
104820,WM,RL,1.435010,0.118490,0.714286
104820,GAMBLING,LR,0.271320,0.126363,0.750000
104820,GAMBLING,RL,0.362553,0.120462,0.714286
104820,EMOTION,LR,0.137814,0.132787,0.526316
104820,EMOTION,RL,0.196642,0.136497,0.578947
105115,SOCIAL,LR,0.206571,0.060414,0.516129
105115,SOCIAL,RL,0.229769,0.059500,0.344828
105115,WM,LR,0.299517,0.058770,0.525000
105115,WM,RL,0.349534,0.074227,0.585366
105115,GAMBLING,LR,0.141338,0.052768,0.466667
105115,GAMBLING,RL,0.164044,0.063211,0.535714
105115,EMOTION,LR,0.248094,0.065613,0.416667
105115,EMOTION,RL,0.140455,0.071641,0.521739
107422,SOCIAL,LR,0.192958,0.061175,0.517241
107422,SOCIAL,RL,0.132480,0.058422,0.428571
107422,WM,LR,0.122704,0.067765,0.529412
107422,WM,RL,0.171442,0.068253,0.500000
107422,GAMBLING,LR,0.142668,0.061175,0.576923
107422,GAMBLING,RL,0.170947,0.068394,0.520000
107422,EMOTION,LR,0.072696,0.057262,0.363636
107422,EMOTION,RL,0.118682,0.052944,0.526316
108121,SOCIAL,LR,0.318457,0.181687,0.527778
108121,SOCIAL,RL,0.418937,0.166186,0.514286
108121,WM,LR,0.731004,0.160274,0.604651
108121,WM,RL,0.527456,0.174948,0.585366
108121,GAMBLING,LR,0.354676,0.160456,0.633333
108121,GAMBLING,RL,0.522729,0.185442,0.636364
108121,EMOTION,LR,0.261874,0.181680,0.615385
108121,EMOTION,RL,0.262346,0.177389,0.538462
108323,SOCIAL,LR,0.192466,0.053013,0.593750
108323,SOCIAL,RL,0.382967,0.062611,0.709677
108323,WM,LR,0.171272,0.046354,0.647059
108323,WM,RL,0.437815,0.045154,0.777778
108323,GAMBLING,LR,0.117487,0.055255,0.769231
108323,GAMBLING,RL,0.409928,0.043001,0.703704
108323,EMOTION,LR,0.415968,0.060346,0.666667
108323,EMOTION,RL,0.660227,0.060167,0.782609
109325,SOCIAL,LR,0.488098,0.125228,0.358974
109325,SOCIAL,RL,0.308147,0.102936,0.638889
109325,WM,LR,0.318708,0.141911,0.521739
