subj,csnmap1,csnmap2,csnmap3,csnmap4,csnmap5,csnmap6,csnmap7
101309,0.027700,-0.080500,0.037900,0.050000,0.069000,0.122200,0.030600
102715,0.022500,-0.027700,-0.014600,0.004400,0.007700,0.069500,0.008600
103414,0.048600,0.020200,-0.019600,0.006900,0.046400,0.059100,0.044200
104820,0.031600,-0.062500,0.032300,0.040400,0.046900,0.121400,0.018400
105115,0.038100,-0.017200,0.013900,0.040500,0.070600,0.092500,0.038000
107422,0.022100,-0.000700,-0.011700,-0.009900,-0.004600,0.027800,-0.004300
108121,0.025300,-0.021800,-0.016900,0.009200,0.032600,0.099700,0.022600
108323,0.059200,-0.028700,0.002900,0.015400,0.046400,0.090000,0.031900
109325,0.047700,0.012900,-0.012500,0.011200,0.023400,0.054200,0.042200
113922,0.028700,-0.004100,0.005400,0.018100,0.047400,0.075600,0.015800
115724,0.052700,-0.014300,0.000100,0.018300,0.051800,0.096300,0.035500
117122,0.033300,-0.010800,-0.016500,0.000100,0.015100,0.055100,0.017300
118730,0.039000,-0.006500,-0.006000,0.009700,0.048500,0.089700,0.018400
119833,0.031300,-0.082900,0.046200,0.056300,0.074000,0.123100,0.033000
120414,0.055800,-0.014900,-0.002200,0.015300,0.023400,0.064600,0.031300
120717,0.027700,-0.008100,-0.001000,0.022100,0.031300,0.088900,0.018000
122620,0.027400,-0.032600,0.001000,0.029500,0.056400,0.120700,0.030900
123925,0.076600,-0.045200,0.029900,0.042600,0.040800,0.094800,0.052400
124624,0.037500,-0.011000,0.001300,0.028200,0.051400,0.100800,0.030300
128026,0.055000,-0.087500,0.052300,0.039200,0.041300,0.081400,0.038100
128632,0.044100,-0.056000,0.024800,0.031500,0.058900,0.113300,0.027400
129028,0.045100,-0.011700,-0.002100,0.012800,0.033100,0.073300,0.029300
129129,0.049100,-0.036800,0.023600,0.027900,0.061600,0.071200,0.038200
130518,0.052900,-0.011300,0.008400,0.040300,0.064200,0.107400,0.042200
133019,0.023200,-0.039500,0.020300,0.031300,0.055800,0.097400,0.023600
133625,0.055900,0.060100,-0.032300,-0.009100,-0.000200,0.050600,0.016400
133827,0.031100,-0.107400,0.032700,0.029600,0.036900,0.110100,0.012300
135124,0.048400,-0.067900,0.031700,0.043900,0.055400,0.120100,0.031600
136833,0.044600,-0.060500,0.021400,0.032000,0.056200,0.082400,0.030800
137027,0.027400,-0.058500,0.029000,0.033400,0.069500,0.097400,0.033500
137229,0.041200,0.022200,-0.005100,0.016300,0.015600,0.070400,0.020600
138534,0.031400,-0.006700,-0.020700,0.002600,0.022000,0.065700,0.015700
139637,0.043400,-0.027800,0.006000,0.034400,0.052800,0.120800,0.039600
139839,0.064000,-0.031800,0.020500,0.041500,0.071400,0.108800,0.047300
141422,0.043800,-0.001600,0.008800,0.024100,0.048900,0.082300,0.031400
143325,0.049600,0.006000,-0.003800,-0.006900,0.014900,0.025800,0.029500
143426,0.055900,-0.028400,0.005000,0.021900,0.032400,0.073800,0.030600
144731,0.034300,-0.018400,0.012100,0.033700,0.070400,0.104300,0.037400
144832,0.043000,-0.018900,0.011900,0.025000,0.056200,0.088400,0.028600
144933,0.022300,0.016700,-0.008000,0.014400,0.030600,0.039300,0.023200
149236,0.056400,-0.053900,0.040600,0.027400,0.060400,0.074200,0.034700
149741,0.015700,0.006100,-0.027800,0.004400,0.029000,0.077000,0.020700
149842,0.058900,-0.048300,0.021700,0.028800,0.023700,0.064200,0.033500
150524,0.066000,-0.001100,0.003700,0.030500,0.029500,0.075100,0.048700
156031,0.067600,-0.034400,0.021300,0.024400,0.049100,0.059100,0.035500
156536,0.062900,-0.026300,0.021600,0.019600,0.062200,0.063900,0.032600
157942,0.068700,-0.013600,0.006800,0.032500,0.054500,0.096000,0.051600
158540,0.016400,-0.125300,0.037600,0.031900,0.030300,0.097700,0.000700
159946,0.031400,-0.017300,0.007100,0.024900,0.065600,0.096800,0.029400
160830,0.043300,-0.004000,0.004300,0.018400,0.015400,0.055500,0.029700
160931,0.053200,-0.015600,0.008700,0.024700,0.035000,0.094200,0.030700
162228,0.053500,-0.046500,0.016700,0.035700,0.052100,0.093900,0.036700
163331,0.040800,-0.011500,-0.011800,-0.002100,0.011500,0.057300,0.015900
164030,0.047500,0.021300,-0.017200,0.002200,0.019600,0.060500,0.018300
167440,0.064600,-0.065000,0.030700,0.028500,0.029300,0.070200,0.036800
170934,0.034800,-0.025300,-0.007400,-0.000900,-0.005500,0.048200,0.011900
172433,0.043800,0.015900,-0.030800,-0.003600,0.000000,0.031500,0.029000
172534,0.032600,-0.038300,0.027300,0.036900,0.097100,0.124300,0.040900
173334,0.016300,-0.043800,0.029100,0.049200,0.084800,0.117700,0.035400
173839,-0.009100,-0.065800,-0.000600,-0.003300,0.001400,0.050300,-0.013200
176037,0.046900,-0.031700,0.026500,0.046100,0.087900,0.115800,0.037800
178849,0.029600,-0.045600,0.002900,0.000000,0.004800,0.076900,-0.001200
188751,0.036200,0.002500,-0.000700,0.023500,0.055100,0.096600,0.037200
191336,0.042000,-0.055800,0.038000,0.063500,0.087400,0.122000,0.047500
192035,0.064900,-0.020500,0.009700,0.018000,0.037500,0.083100,0.026500
195041,0.045200,-0.000500,0.001200,0.020100,0.037200,0.089800,0.037300
195849,0.041900,-0.010000,-0.005700,0.026500,0.033500,0.090800,0.036400
200311,0.053300,-0.007700,-0.000300,0.028300,0.033900,0.084900,0.036300
200513,0.010400,-0.034200,-0.010400,-0.008800,0.008700,0.045800,-0.001100
200614,0.033600,-0.014300,0.007600,0.026000,0.059100,0.108800,0.028900
201111,0.015200,-0.049300,0.025400,0.051200,0.078600,0.119300,0.036200
201818,0.052500,0.005400,-0.005400,0.015900,0.033000,0.081600,0.040700
202820,0.029300,-0.077700,0.030000,0.035500,0.060100,0.092100,0.022100
204016,0.017400,-0.044400,0.003000,0.019200,0.025600,0.057500,0.014100
204218,0.021100,-0.012900,-0.006600,0.008200,0.027000,0.061700,0.018200
204622,0.067100,-0.029800,0.039000,0.048000,0.070700,0.098200,0.058700
205220,0.053900,-0.022300,0.009900,0.017800,0.035700,0.075200,0.025200
206323,0.015100,-0.013500,-0.016500,0.009200,0.028500,0.072600,0.023200
206929,0.057500,0.027400,-0.024500,0.004900,0.021200,0.049300,0.024600
210617,0.064200,-0.001700,0.028600,0.049900,0.067300,0.110800,0.035400
211316,0.053900,-0.013600,0.018900,0.034900,0.052900,0.081200,0.041100
213421,0.057400,-0.046100,0.040900,0.042500,0.065000,0.104400,0.039400
214726,0.038600,-0.047200,0.017900,0.022800,0.038900,0.092700,0.030200
217126,0.048200,-0.045300,0.008900,0.014900,0.024400,0.083800,0.033300
219231,0.042400,0.017200,-0.010300,0.016700,0.040500,0.087200,0.034500
238033,0.044500,-0.019600,-0.002600,0.016000,0.040300,0.083600,0.025600
257542,0.071600,0.008800,-0.011600,0.005000,0.015200,0.044100,0.038400
257946,0.051300,0.017800,-0.002200,0.019000,0.025400,0.054300,0.024200
285446,0.034100,-0.061900,0.027300,0.018000,0.040000,0.091700,0.021600
290136,0.051100,-0.041900,0.029300,0.029300,0.052200,0.092400,0.024400
295146,0.046000,-0.034500,0.023500,0.031300,0.041100,0.070700,0.033300
304020,0.041400,-0.051200,0.023700,0.033100,0.048100,0.112300,0.035000
346945,0.046300,-0.015700,-0.013000,-0.000400,0.020600,0.067700,0.015500
356948,0.044500,0.012200,-0.011300,0.014900,0.024100,0.065700,0.025800
361941,0.015300,-0.047800,0.032100,0.045800,0.077700,0.083800,0.029500
366446,0.045100,-0.022700,0.014100,0.029800,0.042800,0.089800,0.028500
371843,0.026200,-0.049100,0.003100,0.009000,0.030200,0.089400,0.014700
377451,0.054600,0.023600,-0.010400,0.020100,0.032500,0.075300,0.039900
380036,0.030900,-0.012800,-0.010500,0.014600,0.020800,0.089600,0.015300
386250,0.026600,-0.031300,0.010500,0.018600,0.032600,0.084100,0.024900
394956,0.021800,0.010400,-0.013500,-0.014800,-0.010100,0.015400,-0.004400
397154,0.017600,0.000400,-0.004000,0.015200,0.046100,0.072200,0.029900
429040,0.064600,-0.023500,0.017200,0.036500,0.057500,0.101300,0.047200
441939,0.009400,0.002800,-0.037100,-0.045000,-0.043900,-0.004700,-0.024600
449753,0.001300,-0.004900,-0.008800,0.004700,0.020800,0.049500,0.000700
475855,0.032600,-0.003800,-0.009200,-0.000100,0.032400,0.057300,0.023400
481951,0.042800,-0.053600,0.021900,0.014700,0.024100,0.068900,0.017500
510225,0.051900,-0.020500,0.018000,0.023200,0.036700,0.043800,0.030200
516742,-0.005200,-0.007700,-0.000600,0.002500,0.021400,0.015100,-0.000400
520228,0.012800,-0.033100,-0.000500,0.015100,0.027800,0.100700,0.005500
523032,0.044600,-0.012700,0.014100,0.035800,0.044600,0.096500,0.028900
524135,0.053400,-0.001000,0.002100,0.033000,0.049200,0.118900,0.034900
525541,0.032400,-0.031800,0.000000,0.016200,0.042700,0.069600,0.026200
541640,0.042800,0.009700,-0.007500,0.020900,0.032500,0.088200,0.027700
552241,0.017200,-0.093700,0.026300,0.033500,0.024200,0.092500,0.011100
597869,0.041600,-0.011900,0.003000,0.018800,0.047700,0.103100,0.033200
598568,0.047300,-0.002300,-0.002200,0.022900,0.040600,0.099900,0.039300
617748,0.053100,-0.001700,0.013700,0.023200,0.058400,0.081900,0.042100
627852,0.015300,-0.065700,0.042100,0.053300,0.069200,0.134900,0.030100
633847,0.049300,-0.037700,0.012200,0.038100,0.056500,0.107800,0.040000
647858,0.019700,-0.017300,0.005200,0.023000,0.053200,0.077300,0.026600
664757,0.038200,0.000400,-0.001700,0.014300,0.032000,0.086600,0.024000
680957,0.037900,-0.044900,0.026700,0.035700,0.049500,0.082800,0.032200
692964,0.049600,-0.023100,0.019400,0.034500,0.033100,0.070600,0.035800
694362,0.036700,-0.028000,-0.006600,0.018000,0.031400,0.067700,0.023400
720337,0.044100,-0.016700,0.008900,0.020100,0.062200,0.100100,0.027200
728454,0.022900,0.018300,-0.030400,-0.007000,0.008500,0.060200,0.023400
729557,0.051700,-0.050200,0.023300,0.053900,0.066400,0.136400,0.055600
734045,0.042600,0.020200,-0.006900,0.017800,0.038000,0.080700,0.028100
744553,0.058000,-0.003800,-0.010900,0.000700,0.003900,0.061800,0.021500
759869,0.048300,-0.062300,0.053100,0.075400,0.123800,0.137500,0.061000
763557,0.048100,0.026200,-0.003900,0.025500,0.049400,0.070500,0.036400
782561,0.084800,-0.014700,0.018300,0.050300,0.072000,0.110300,0.061600
783462,0.047000,-0.051200,0.017900,0.021100,0.048900,0.088300,0.038900
800941,0.016300,-0.086800,0.036700,0.045800,0.052600,0.124400,0.018900
812746,0.011700,-0.023300,-0.020800,0.004300,0.000700,0.074700,0.007100
815247,0.065700,-0.031800,0.026900,0.042100,0.062800,0.103700,0.054700
837964,0.049700,-0.047300,0.029800,0.049700,0.075900,0.110800,0.047700
844961,0.054100,0.015900,-0.007000,0.022000,0.052800,0.082400,0.039900
849971,0.022300,-0.024400,0.002500,0.019500,0.049800,0.105100,0.016300
884064,0.044400,-0.062400,0.033000,0.033000,0.064500,0.084600,0.031400
894673,0.056100,0.023100,-0.022100,-0.004800,0.006400,0.040000,0.024700
910443,0.052500,-0.037000,0.030600,0.041300,0.082500,0.114800,0.049800
930449,0.026500,-0.024800,0.014100,0.035100,0.080000,0.094700,0.044500
943862,0.011500,-0.054700,-0.000500,0.015100,0.033700,0.085300,0.020500
978578,0.045500,-0.007600,0.006900,0.026100,0.043200,0.075000,0.034600
